"時点","総人口（総数）【人】","注記","日本人人口（総数）【人】","注記"
"1999年3月","126473000","","125261000",""
"1999年4月","126535000","","125324000",""
"1999年5月","126473000","","125256000",""
"1999年6月","126618000","","125378000",""
"1999年7月","126631000","","125397000",""
"1999年8月","126531000","","125328000",""
"1999年9月","126611000","","125384000",""
"1999年10月","126667000","","125427000",""
"1999年11月","126735000","","125484000",""
"1999年12月","126772000","","125517000",""
"2000年1月","126746000","","125556000",""
"2000年2月","126794000","","125550000",""
"2000年3月","126714000","","125467000",""
"2000年4月","126758000","","125510000",""
"2000年5月","126737000","","125476000",""
"2000年6月","126826000","","125535000",""
"2000年7月","126843000","","125554000",""
"2000年8月","126770000","","125504000",""
"2000年9月","126837000","","125546000",""
"2000年10月","126925843","総務省統計局「国勢調査」による。","125386737","総務省統計局「国勢調査」による。"
"2000年11月","126998000","","125669000",""
"2000年12月","127027000","","125689000",""
"2001年1月","126912000","","125643000",""
"2001年2月","127050000","","125727000",""
"2001年3月","126980000","","125651000",""
"2001年4月","127052000","","125722000",""
"2001年5月","127011000","","125665000",""
"2001年6月","127125000","","125751000",""
"2001年7月","127149000","","125781000",""
"2001年8月","127069000","","125730000",""
"2001年9月","127131000","","125766000",""
"2001年10月","127316000","","125930000",""
"2001年11月","127396000","","125992000",""
"2001年12月","127397000","","125993000",""
"2002年1月","127261000","","125932000",""
"2002年2月","127343000","","125953000",""
"2002年3月","127272000","","125898000",""
"2002年4月","127371000","","125991000",""
"2002年5月","127350000","","125954000",""
"2002年6月","127418000","","125998000",""
"2002年7月","127445000","","126028000",""
"2002年8月","127362000","","125978000",""
"2002年9月","127405000","","125995000",""
"2002年10月","127486000","","126053000",""
"2002年11月","127527000","","126078000",""
"2002年12月","127564000","","126114000",""
"2003年1月","127400000","","126025000",""
"2003年2月","127563000","","126146000",""
"2003年3月","127468000","","126043000",""
"2003年4月","127623000","","126187000",""
"2003年5月","127672000","","126209000",""
"2003年6月","127733000","","126251000",""
"2003年7月","127718000","","126247000",""
"2003年8月","127643000","","126201000",""
"2003年9月","127645000","","126181000",""
"2003年10月","127694000","","126206000",""
"2003年11月","127704000","","126201000",""
"2003年12月","127750000","","126240000",""
"2004年1月","127603000","","126173000",""
"2004年2月","127739000","","126254000",""
"2004年3月","127675000","","126191000",""
"2004年4月","127736000","","126252000",""
"2004年5月","127654000","","126167000",""
"2004年6月","127768000","","126250000",""
"2004年7月","127761000","","126250000",""
"2004年8月","127703000","","126229000",""
"2004年9月","127730000","","126230000",""
"2004年10月","127787000","","126266000",""
"2004年11月","127819000","","126283000",""
"2004年12月","127838000","","126299000",""
"2005年1月","127740000","","126276000",""
"2005年2月","127793000","","126273000",""
"2005年3月","127714000","","126204000",""
"2005年4月","127791000","","126272000",""
"2005年5月","127647000","","126123000",""
"2005年6月","127780000","","126220000",""
"2005年7月","127773000","","126221000",""
"2005年8月","127729000","","126209000",""
"2005年9月","127734000","","126192000",""
"2005年10月","127767994","総務省統計局「国勢調査」による。","125730148","総務省統計局「国勢調査」による。"
"2005年11月","127792000","","126214000",""
"2005年12月","127795000","","126214000",""
"2006年1月","127781000","","126283000",""
"2006年2月","127776000","","126232000",""
"2006年3月","127761000","","126209000",""
"2006年4月","127788000","","126231000",""
"2006年5月","127777000","","126211000",""
"2006年6月","127825000","","126223000",""
"2006年7月","127854000","","126260000",""
"2006年8月","127876000","","126310000",""
"2006年9月","127862000","","126275000",""
"2006年10月","127901000","","126286000",""
"2006年11月","127925000","","126291000",""
"2006年12月","127935000","","126294000",""
"2007年1月","127925000","","126368000",""
"2007年2月","127938000","","126305000",""
"2007年3月","127908000","","126306000",""
"2007年4月","127942000","","126319000",""
"2007年5月","127925000","","126295000",""
"2007年6月","127971000","","126301000",""
"2007年7月","128001000","","126336000",""
"2007年8月","128024000","","126385000",""
"2007年9月","127997000","","126341000",""
"2007年10月","128033000","","126347000",""
"2007年11月","128047000","","126341000",""
"2007年12月","128050000","","126340000",""
"2008年1月","128026000","","126407000",""
"2008年2月","128020000","","126335000",""
"2008年3月","127992000","","126315000",""
"2008年4月","128013000","","126320000",""
"2008年5月","127999000","","126294000",""
"2008年6月","128032000","","126298000",""
"2008年7月","128063000","","126332000",""
"2008年8月","128075000","","126377000",""
"2008年9月","128043000","","126327000",""
"2008年10月","128084000","","126340000",""
"2008年11月","128098000","","126336000",""
"2008年12月","128099000","","126332000",""
"2009年1月","128069000","","126402000",""
"2009年2月","128048000","","126338000",""
"2009年3月","128013000","","126312000",""
"2009年4月","128022000","","126324000",""
"2009年5月","127996000","","126301000",""
"2009年6月","128026000","","126303000",""
"2009年7月","128047000","","126337000",""
"2009年8月","128040000","","126379000",""
"2009年9月","128002000","","126331000",""
"2009年10月","128032000","","126343000",""
"2009年11月","128055000","","126349000",""
"2009年12月","128059000","","126350000",""
"2010年1月","128032000","","126416000",""
"2010年2月","128052000","","126369000",""
"2010年3月","128003000","","126360000",""
"2010年4月","128032000","","126373000",""
"2010年5月","128011000","","126350000",""
"2010年6月","128041000","","126349000",""
"2010年7月","128070000","","126387000",""
"2010年8月","128069000","","126430000",""
"2010年9月","128028000","","126380000",""
"2010年10月","128057352","総務省統計局「国勢調査」による。","125358854","総務省統計局「国勢調査」による。"
"2010年11月","128066000","","126373000",""
"2010年12月","128058000","","126362000",""
"2011年1月","128027000","","126420000",""
"2011年2月","127994000","","126343000",""
"2011年3月","127945000","","126300000",""
"2011年4月","127708000","","126253000",""
"2011年5月","127749000","","126221000",""
"2011年6月","127809000","","126207000",""
"2011年7月","127833000","","126227000",""
"2011年8月","127838000","","126259000",""
"2011年9月","127797000","","126213000",""
"2011年10月","127834000","","126210000",""
"2011年11月","127839000","","126199000",""
"2011年12月","127831000","","126184000",""
"2012年1月","127708000","","126233000",""
